epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8436,1.36701,3.22784,1.4422,0.48535,0.13665,0.13778,0.08158,1.70524,3.41736,1.85491,0.0672821,0.000330484,0.000330484
2,37.3109,1.38321,2.38498,1.44467,0.25455,0.23714,0.20412,0.1253,1.62504,2.85567,1.72592,0.0342689,0.000650674,0.000650674
3,54.3761,1.37207,2.08518,1.44165,0.32092,0.25975,0.24746,0.15272,1.68305,2.78636,1.76238,0.00124256,0.000957664,0.000957664
4,72.0543,1.3854,1.99116,1.44416,0.28602,0.28437,0.21731,0.13565,1.69888,2.84405,1.83286,0.0009406,0.0009406,0.0009406
5,88.1275,1.38101,1.93843,1.43228,0.37511,0.24632,0.24976,0.15759,1.70715,2.84871,1.77139,0.0009208,0.0009208,0.0009208
6,104.156,1.37492,1.90616,1.44557,0.35554,0.26151,0.243,0.14956,1.67821,2.80789,1.72302,0.000901,0.000901,0.000901
7,120.282,1.36535,1.87647,1.42591,0.25112,0.32115,0.23469,0.14272,1.64808,2.87307,1.74759,0.0008812,0.0008812,0.0008812
8,136.49,1.36723,1.84046,1.42419,0.31518,0.25954,0.2466,0.14919,1.65842,2.78149,1.76132,0.0008614,0.0008614,0.0008614
9,152.675,1.33919,1.83881,1.41665,0.27002,0.29033,0.24303,0.1523,1.67286,2.7784,1.76783,0.0008416,0.0008416,0.0008416
10,168.512,1.32841,1.78968,1.40817,0.2749,0.2508,0.23443,0.15148,1.66055,2.76127,1.72126,0.0008218,0.0008218,0.0008218
11,184.428,1.3182,1.75126,1.39952,0.33811,0.29138,0.26237,0.16541,1.6601,2.74272,1.73825,0.000802,0.000802,0.000802
12,200.391,1.31863,1.74112,1.39813,0.31484,0.30582,0.27401,0.1713,1.65329,2.70266,1.72809,0.0007822,0.0007822,0.0007822
13,217.225,1.30684,1.72546,1.39351,0.37001,0.27461,0.27531,0.17257,1.67003,2.72058,1.78664,0.0007624,0.0007624,0.0007624
14,234.196,1.29792,1.67892,1.3787,0.35444,0.30675,0.27492,0.17503,1.67517,2.80394,1.73039,0.0007426,0.0007426,0.0007426
15,250.045,1.31955,1.71656,1.40097,0.33682,0.25737,0.2426,0.16107,1.67962,2.84858,1.75715,0.0007228,0.0007228,0.0007228
16,265.979,1.29282,1.68119,1.38509,0.31947,0.30429,0.26392,0.16354,1.66907,2.75393,1.73302,0.000703,0.000703,0.000703
17,281.881,1.28103,1.61787,1.36562,0.30418,0.29112,0.26463,0.16318,1.67664,2.85047,1.75365,0.0006832,0.0006832,0.0006832
18,297.948,1.28437,1.64342,1.37714,0.33041,0.27474,0.25541,0.16163,1.71938,2.87789,1.74674,0.0006634,0.0006634,0.0006634
19,313.709,1.28798,1.61554,1.36555,0.25406,0.32798,0.25388,0.16457,1.67274,2.76464,1.74864,0.0006436,0.0006436,0.0006436
20,329.563,1.28008,1.60616,1.36539,0.33807,0.29091,0.26783,0.17406,1.65782,2.81869,1.74122,0.0006238,0.0006238,0.0006238
21,345.423,1.26487,1.58276,1.36675,0.31623,0.3023,0.28762,0.18189,1.64648,2.71509,1.73518,0.000604,0.000604,0.000604
22,361.346,1.2721,1.60083,1.3704,0.3474,0.31072,0.27573,0.18351,1.64708,2.78864,1.74488,0.0005842,0.0005842,0.0005842
23,377.185,1.24269,1.54619,1.34225,0.34978,0.26256,0.2558,0.16754,1.63034,2.79689,1.71868,0.0005644,0.0005644,0.0005644
24,393.537,1.24811,1.53509,1.35034,0.38687,0.27578,0.26608,0.16557,1.68024,2.86486,1.77199,0.0005446,0.0005446,0.0005446
25,410.996,1.25275,1.54474,1.34638,0.3383,0.2949,0.29424,0.18658,1.67479,2.69824,1.75069,0.0005248,0.0005248,0.0005248
26,428.272,1.24261,1.49947,1.3287,0.27371,0.32609,0.26169,0.17021,1.65983,2.81793,1.76115,0.000505,0.000505,0.000505
27,446.088,1.22547,1.45793,1.32348,0.3299,0.32615,0.27366,0.17774,1.62419,2.85334,1.72976,0.0004852,0.0004852,0.0004852
28,462.789,1.21703,1.46808,1.32516,0.3317,0.25851,0.25682,0.16788,1.65936,2.8742,1.75546,0.0004654,0.0004654,0.0004654
29,479.619,1.22183,1.45289,1.31275,0.39408,0.25727,0.26452,0.17467,1.63124,2.8176,1.73098,0.0004456,0.0004456,0.0004456
30,496.336,1.21993,1.44417,1.31283,0.34191,0.28744,0.26734,0.17691,1.61959,2.80083,1.72067,0.0004258,0.0004258,0.0004258
31,513.963,1.21623,1.43534,1.32871,0.35845,0.26322,0.26128,0.17555,1.6392,2.75422,1.7445,0.000406,0.000406,0.000406
32,530.877,1.19337,1.41457,1.31247,0.32054,0.31378,0.27395,0.17439,1.65899,2.91958,1.74395,0.0003862,0.0003862,0.0003862
33,548.704,1.22911,1.44682,1.31604,0.29944,0.28159,0.25118,0.16096,1.68617,2.87143,1.78468,0.0003664,0.0003664,0.0003664
34,565.209,1.19388,1.38577,1.30486,0.35937,0.26674,0.26911,0.17247,1.68272,2.90111,1.76255,0.0003466,0.0003466,0.0003466
35,581.37,1.18945,1.39111,1.30715,0.39001,0.27648,0.27009,0.17753,1.66631,2.82297,1.74992,0.0003268,0.0003268,0.0003268
